session_code,user_code,content_code,time_,watched_duration,platform,device_type,os_family,os_name,app_version,is_up_to_date
SESSION_00000054,USER_00000000391,CONTENT_00000047,2024-07-23 04:53:11,32,Tablet,Tablet,Linux,iOS 16,version 2.1.0,1
SESSION_00000055,USER_00000000501,CONTENT_00000844,2024-08-01 14:54:36,43,TV,Desktop,iOS,Windows 11,version 1.2.3,1
SESSION_00000056,USER_00000000697,CONTENT_00000157,2024-11-22 22:17:40,84,Console,Desktop,tvOS,iOS 16,version 2.0.1,1
SESSION_00000057,USER_00000000437,CONTENT_00000510,2024-11-01 05:46:08,106,Mobile,Desktop,Nintendo,Android 13,version 2.1.0,1
SESSION_00000058,USER_00000000258,CONTENT_00000661,2024-02-12 20:04:20,14,Tablet,Smartphone,Xbox,Windows 11,version 2.1.0,1
SESSION_00000059,USER_00000000518,CONTENT_00000229,2025-04-04 07:47:21,158,Tablet,Desktop,Windows,macOS Ventura,version 3.0.5,1
SESSION_00000060,USER_00000000030,CONTENT_00000598,2025-04-12 14:20:21,147,Mobile,Smart TV,Android,iPadOS 15,version 1.2.3,1
SESSION_00000061,USER_00000000492,CONTENT_00000345,2024-06-24 01:57:28,25,Mobile,Game Console,macOS,tvOS 14,version 3.0.5,1
SESSION_00000062,USER_00000000112,CONTENT_00000172,2024-04-20 07:30:44,88,Computer,Smartphone,Playstation,iOS 16,version 3.0.5,1
SESSION_00000063,USER_00000000794,CONTENT_00000970,2025-02-15 09:45:25,115,TV,Desktop,Linux,Windows 11,version 2.1.0,1
SESSION_00000064,USER_00000000887,CONTENT_00000081,2023-09-28 21:22:47,139,Tablet,Game Console,Linux,macOS Ventura,version 2.1.0,1
SESSION_00000065,USER_00000000198,CONTENT_00000329,2024-02-09 06:47:59,154,Console,Laptop,macOS,FireOS 6,version 1.2.3,1
SESSION_00000066,USER_00000000258,CONTENT_00000629,2023-12-26 10:39:37,25,TV,Desktop,macOS,Ubuntu 22.04,version 1.2.3,1
SESSION_00000067,USER_00000000109,CONTENT_00000483,2023-06-22 15:31:57,18,Mobile,Desktop,iOS,Android 13,version 3.0.5,1
SESSION_00000068,USER_00000000932,CONTENT_00000685,2023-10-31 00:58:00,39,Console,Smartphone,Android,Android 13,version 2.1.0,1
SESSION_00000069,USER_00000000861,CONTENT_00000561,2024-06-30 00:36:20,147,Tablet,Tablet,Playstation,Xbox,version 3.0.5,1
SESSION_00000070,USER_00000000223,CONTENT_00000030,2024-09-02 23:44:33,24,TV,Laptop,Linux,tvOS 14,version 1.0.0,1
SESSION_00000071,USER_00000000263,CONTENT_00000932,2023-08-22 01:09:57,167,Console,Game Console,Linux,iOS 16,version 2.0.1,1
SESSION_00000072,USER_00000000271,CONTENT_00000200,2025-05-16 14:48:39,50,Console,Smartphone,Linux,FireOS 6,version 1.2.3,1
SESSION_00000073,USER_00000000829,CONTENT_00000198,2024-09-27 15:49:19,104,Mobile,Smart TV,FireOS,Windows 11,version 3.0.5,1
SESSION_00000074,USER_00000000025,CONTENT_00000234,2023-07-13 08:27:38,160,Computer,Game Console,FireOS,macOS Ventura,version 2.1.0,1
SESSION_00000075,USER_00000000804,CONTENT_00000680,2024-06-21 07:33:57,145,TV,Tablet,iOS,Android 13,version 2.1.0,1
SESSION_00000076,USER_00000000996,CONTENT_00000247,2023-08-05 04:34:37,28,TV,Smartphone,Playstation,Windows 11,version 1.0.0,1
SESSION_00000077,USER_00000000596,CONTENT_00000994,2023-12-24 18:35:07,153,Tablet,Game Console,Playstation,Xbox,version 3.0.5,1
SESSION_00000078,USER_00000000070,CONTENT_00000429,2024-10-23 01:59:33,36,Mobile,Tablet,Android,Ubuntu 22.04,version 1.2.3,1
SESSION_00000079,USER_00000000436,CONTENT_00000944,2023-11-21 01:23:27,148,Tablet,Laptop,tvOS,Switch,version 2.0.1,1
SESSION_00000080,USER_00000000015,CONTENT_00000601,2024-10-14 02:53:54,168,Console,Smart TV,Playstation,tvOS 14,version 3.0.5,1
SESSION_00000081,USER_00000000304,CONTENT_00000992,2024-09-25 00:30:37,38,Mobile,Tablet,Xbox,Xbox,version 2.0.1,1
SESSION_00000082,USER_00000000055,CONTENT_00000397,2025-04-10 06:24:52,125,Tablet,Game Console,Windows,Windows 11,version 2.0.1,1
SESSION_00000083,USER_00000000519,CONTENT_00000225,2024-07-17 15:06:31,141,Tablet,Smartphone,iOS,macOS Ventura,version 3.0.5,1
SESSION_00000084,USER_00000000238,CONTENT_00000468,2023-07-08 07:51:52,156,Mobile,Smartphone,Xbox,tvOS 14,version 2.0.1,1
SESSION_00000085,USER_00000000280,CONTENT_00000002,2025-01-30 17:46:18,89,Computer,Smart TV,Windows,iPadOS 15,version 2.1.0,1
SESSION_00000086,USER_00000000420,CONTENT_00000332,2025-06-01 14:07:48,105,Mobile,Smart TV,Android,Android 13,version 2.1.0,1
SESSION_00000087,USER_00000000379,CONTENT_00000233,2023-08-02 11:12:40,37,Console,Smartphone,iOS,Ubuntu 22.04,version 2.1.0,1
SESSION_00000088,USER_00000000077,CONTENT_00000764,2024-03-02 18:50:30,62,Computer,Tablet,FireOS,PS5,version 1.0.0,1
SESSION_00000089,USER_00000000037,CONTENT_00000832,2025-02-09 20:00:10,178,Tablet,Smart TV,tvOS,macOS Ventura,version 2.0.1,1
SESSION_00000090,USER_00000000792,CONTENT_00000403,2024-09-06 08:46:09,140,Mobile,Tablet,Playstation,macOS Ventura,version 3.0.5,1
SESSION_00000091,USER_00000000090,CONTENT_00000945,2024-01-29 02:57:24,91,TV,Smart TV,FireOS,PS5,version 2.1.0,1
SESSION_00000092,USER_00000000538,CONTENT_00000751,2024-12-03 09:21:06,49,Computer,Smart TV,iOS,PS5,version 1.2.3,1
SESSION_00000093,USER_00000000954,CONTENT_00000044,2024-04-07 23:37:52,74,Computer,Game Console,Playstation,Ubuntu 22.04,version 2.1.0,1
SESSION_00000094,USER_00000000656,CONTENT_00000795,2024-08-12 16:26:22,66,Tablet,Laptop,Nintendo,PS5,version 2.1.0,1
SESSION_00000095,USER_00000000393,CONTENT_00000074,2024-08-24 08:49:18,97,Computer,Smart TV,Android,Windows 11,version 1.2.3,1
SESSION_00000096,USER_00000000093,CONTENT_00000449,2025-04-05 01:51:44,72,Tablet,Tablet,Android,macOS Ventura,version 3.0.5,1
SESSION_00000097,USER_00000000761,CONTENT_00000311,2024-01-05 22:52:51,127,TV,Smartphone,tvOS,Switch,version 3.0.5,1
SESSION_00000098,USER_00000000864,CONTENT_00000257,2024-06-13 12:15:57,29,Mobile,Game Console,Linux,Ubuntu 22.04,version 2.0.1,1
SESSION_00000099,USER_00000000310,CONTENT_00000391,2024-07-12 14:01:37,25,Computer,Game Console,Playstation,iPadOS 15,version 1.0.0,1
SESSION_00000100,USER_00000000825,CONTENT_00000785,2024-05-16 15:42:28,115,TV,Game Console,iOS,Android 13,version 3.0.5,1
SESSION_00000101,USER_00000000425,CONTENT_00000004,2023-11-20 15:45:24,179,Console,Laptop,Android,PS5,version 2.1.0,1
SESSION_00000102,USER_00000000140,CONTENT_00000347,2024-02-08 22:22:58,98,Mobile,Desktop,Linux,FireOS 6,version 1.0.0,1
SESSION_00000103,USER_00000000431,CONTENT_00000149,2023-11-01 05:29:33,137,Tablet,Smartphone,macOS,PS5,version 2.0.1,1
SESSION_00000104,USER_00000000707,CONTENT_00000522,2024-09-15 21:13:22,177,TV,Laptop,FireOS,Switch,version 2.1.0,1
SESSION_00000105,USER_00000000679,CONTENT_00000883,2023-10-17 08:36:12,25,TV,Laptop,Android,iOS 16,version 1.2.3,1
SESSION_00000106,USER_00000000766,CONTENT_00000852,2025-03-21 22:55:56,49,Tablet,Smart TV,Playstation,Android 13,version 2.1.0,1
SESSION_00000107,USER_00000000196,CONTENT_00000203,2025-04-19 12:26:02,59,Console,Tablet,tvOS,Android 13,version 1.0.0,1
SESSION_00000108,USER_00000000879,CONTENT_00000679,2023-06-22 02:55:24,40,Mobile,Tablet,Playstation,Windows 11,version 3.0.5,1
SESSION_00000109,USER_00000000718,CONTENT_00000771,2025-05-30 23:59:52,110,Mobile,Tablet,Android,Android 13,version 1.2.3,1
SESSION_00000110,USER_00000000463,CONTENT_00000937,2024-05-07 11:24:51,52,TV,Desktop,Nintendo,macOS Ventura,version 1.0.0,1
SESSION_00000111,USER_00000000950,CONTENT_00000854,2023-12-15 06:46:20,72,Console,Smartphone,tvOS,tvOS 14,version 1.2.3,1
SESSION_00000112,USER_00000000824,CONTENT_00000403,2023-12-12 10:28:52,69,Mobile,Desktop,Windows,iPadOS 15,version 1.0.0,1
SESSION_00000113,USER_00000000506,CONTENT_00000882,2024-06-27 08:03:27,11,Mobile,Laptop,tvOS,tvOS 14,version 2.1.0,1
SESSION_00000114,USER_00000000137,CONTENT_00000472,2023-11-22 02:20:00,11,Console,Smartphone,Linux,tvOS 14,version 2.0.1,1
SESSION_00000115,USER_00000000830,CONTENT_00000791,2025-04-03 07:24:51,124,Mobile,Tablet,Playstation,PS5,version 1.0.0,1
SESSION_00000116,USER_00000000837,CONTENT_00000210,2024-02-12 10:31:07,136,Console,Desktop,Windows,iOS 16,version 2.1.0,1
SESSION_00000117,USER_00000000886,CONTENT_00000221,2024-02-08 04:00:06,36,Mobile,Smart TV,FireOS,Xbox,version 2.1.0,1
SESSION_00000118,USER_00000000419,CONTENT_00000086,2023-07-23 06:15:50,67,Computer,Desktop,FireOS,iPadOS 15,version 2.0.1,1
SESSION_00000119,USER_00000000095,CONTENT_00000532,2024-08-12 13:18:34,128,Mobile,Smart TV,Windows,Android 13,version 3.0.5,1
SESSION_00000120,USER_00000000974,CONTENT_00000120,2024-05-20 14:55:41,119,Console,Desktop,Windows,Xbox,version 3.0.5,1
SESSION_00000121,USER_00000000755,CONTENT_00000509,2024-03-05 15:00:21,140,Mobile,Laptop,tvOS,iPadOS 15,version 2.0.1,1
SESSION_00000122,USER_00000000189,CONTENT_00000073,2024-03-01 09:24:00,21,TV,Desktop,Windows,FireOS 6,version 1.0.0,1
SESSION_00000123,USER_00000000168,CONTENT_00000618,2025-03-17 01:20:51,37,Tablet,Desktop,iOS,FireOS 6,version 1.2.3,1
SESSION_00000124,USER_00000000837,CONTENT_00000380,2023-12-04 01:47:28,145,TV,Smart TV,tvOS,Xbox,version 1.2.3,1
SESSION_00000125,USER_00000000533,CONTENT_00000274,2023-09-12 02:09:07,29,Computer,Game Console,Xbox,iOS 16,version 2.1.0,1
SESSION_00000126,USER_00000000322,CONTENT_00000642,2024-01-23 05:23:26,84,Console,Laptop,Playstation,iOS 16,version 1.0.0,1
SESSION_00000127,USER_00000000805,CONTENT_00000081,2024-03-29 22:48:11,29,Tablet,Game Console,macOS,Windows 11,version 2.0.1,1
SESSION_00000128,USER_00000000415,CONTENT_00000333,2024-03-04 11:20:49,160,Console,Smartphone,iOS,Windows 11,version 1.0.0,1
SESSION_00000129,USER_00000000223,CONTENT_00000089,2025-05-25 21:32:45,65,TV,Smart TV,FireOS,Xbox,version 1.0.0,1
SESSION_00000130,USER_00000000106,CONTENT_00000049,2024-06-05 09:13:23,33,TV,Desktop,Windows,FireOS 6,version 3.0.5,1
SESSION_00000131,USER_00000000702,CONTENT_00000471,2025-03-04 14:30:53,137,Mobile,Desktop,Nintendo,macOS Ventura,version 1.0.0,1
SESSION_00000132,USER_00000000675,CONTENT_00000179,2024-01-25 06:09:37,113,Tablet,Smart TV,tvOS,FireOS 6,version 2.0.1,1
SESSION_00000133,USER_00000000874,CONTENT_00000066,2023-06-16 02:22:27,85,Computer,Game Console,macOS,macOS Ventura,version 3.0.5,1
SESSION_00000134,USER_00000000757,CONTENT_00000899,2025-03-28 04:00:36,12,TV,Laptop,Xbox,FireOS 6,version 2.0.1,1
SESSION_00000135,USER_00000000813,CONTENT_00000440,2024-10-02 10:36:13,116,TV,Desktop,FireOS,iPadOS 15,version 1.2.3,1
SESSION_00000136,USER_00000000207,CONTENT_00000809,2023-08-03 22:53:25,167,Computer,Smartphone,Nintendo,Android 13,version 2.0.1,1
SESSION_00000137,USER_00000000991,CONTENT_00000853,2023-10-31 09:58:58,167,Console,Smart TV,Windows,Windows 11,version 3.0.5,1
SESSION_00000138,USER_00000000546,CONTENT_00000866,2024-02-20 17:38:36,103,Computer,Smart TV,Windows,Windows 11,version 2.1.0,1
SESSION_00000139,USER_00000000583,CONTENT_00000389,2024-08-28 13:20:02,11,TV,Laptop,Android,tvOS 14,version 2.1.0,1
SESSION_00000140,USER_00000000751,CONTENT_00000969,2023-12-22 07:45:48,169,Computer,Smartphone,Xbox,Switch,version 1.0.0,1
SESSION_00000141,USER_00000000441,CONTENT_00000381,2023-09-16 08:05:22,18,Mobile,Tablet,FireOS,Xbox,version 3.0.5,1
SESSION_00000142,USER_00000000447,CONTENT_00000680,2024-06-16 06:47:56,30,TV,Tablet,Windows,PS5,version 3.0.5,1
SESSION_00000143,USER_00000000911,CONTENT_00000580,2025-04-09 17:17:02,51,Computer,Tablet,Xbox,iOS 16,version 2.0.1,1
SESSION_00000144,USER_00000000276,CONTENT_00000996,2025-03-07 05:12:27,16,Tablet,Laptop,iOS,Ubuntu 22.04,version 3.0.5,1
SESSION_00000145,USER_00000000672,CONTENT_00000392,2024-12-14 15:10:17,38,Tablet,Tablet,Linux,Switch,version 1.0.0,1
SESSION_00000146,USER_00000000069,CONTENT_00000452,2024-07-31 12:21:39,168,Console,Desktop,Playstation,FireOS 6,version 1.0.0,1
SESSION_00000147,USER_00000000852,CONTENT_00000127,2025-01-26 06:53:04,11,TV,Tablet,Playstation,Android 13,version 1.0.0,1
SESSION_00000148,USER_00000000822,CONTENT_00000817,2023-08-07 12:02:03,95,TV,Smartphone,iOS,FireOS 6,version 2.1.0,1
SESSION_00000149,USER_00000000823,CONTENT_00000517,2024-07-01 23:02:44,100,Computer,Game Console,Nintendo,Android 13,version 2.0.1,1
SESSION_00000150,USER_00000000945,CONTENT_00000133,2023-11-23 11:56:06,43,Tablet,Laptop,tvOS,FireOS 6,version 2.0.1,1
SESSION_00000151,USER_00000000622,CONTENT_00000837,2024-01-07 15:13:16,60,Mobile,Game Console,Playstation,iOS 16,version 1.0.0,1
SESSION_00000152,USER_00000000266,CONTENT_00000979,2024-08-02 07:37:28,173,Mobile,Smartphone,iOS,Windows 11,version 1.0.0,1
SESSION_00000153,USER_00000001000,CONTENT_00000748,2024-06-09 04:47:06,61,Tablet,Desktop,Nintendo,Windows 11,version 3.0.5,1
SESSION_00000154,USER_00000000847,CONTENT_00000593,2024-02-10 01:57:08,130,Console,Tablet,Xbox,iOS 16,version 1.2.3,1
SESSION_00000155,USER_00000000477,CONTENT_00000926,2023-10-20 02:23:44,72,Mobile,Laptop,Android,iPadOS 15,version 3.0.5,1
SESSION_00000156,USER_00000000430,CONTENT_00000176,2023-06-03 05:36:05,113,Tablet,Laptop,FireOS,tvOS 14,version 1.2.3,1
SESSION_00000157,USER_00000000023,CONTENT_00000612,2023-06-26 09:59:33,164,Mobile,Smartphone,Nintendo,FireOS 6,version 1.0.0,1
SESSION_00000158,USER_00000000345,CONTENT_00000354,2023-06-03 09:31:32,137,Mobile,Tablet,tvOS,Android 13,version 1.0.0,1
SESSION_00000159,USER_00000000205,CONTENT_00000528,2024-03-16 15:17:51,17,Computer,Laptop,iOS,tvOS 14,version 2.0.1,1
SESSION_00000160,USER_00000000935,CONTENT_00000412,2024-07-01 01:52:43,130,TV,Smart TV,Android,FireOS 6,version 1.0.0,1
SESSION_00000161,USER_00000000735,CONTENT_00000058,2023-09-23 23:50:41,65,TV,Tablet,Xbox,iOS 16,version 3.0.5,1
SESSION_00000162,USER_00000000973,CONTENT_00000753,2024-01-17 18:33:03,174,TV,Tablet,Android,Xbox,version 1.2.3,1
SESSION_00000163,USER_00000000879,CONTENT_00000877,2025-03-11 16:48:01,154,TV,Desktop,Linux,PS5,version 2.1.0,1
SESSION_00000164,USER_00000000673,CONTENT_00000302,2023-08-14 07:49:09,88,Tablet,Desktop,tvOS,tvOS 14,version 3.0.5,1
SESSION_00000165,USER_00000000814,CONTENT_00000792,2025-03-10 04:31:25,149,TV,Tablet,iOS,Xbox,version 3.0.5,1
SESSION_00000166,USER_00000000863,CONTENT_00000696,2024-08-04 02:06:30,14,Computer,Smart TV,tvOS,Ubuntu 22.04,version 1.2.3,1
SESSION_00000167,USER_00000000216,CONTENT_00000721,2023-09-11 13:38:24,180,Computer,Smart TV,Windows,iPadOS 15,version 1.2.3,1
SESSION_00000168,USER_00000000221,CONTENT_00000451,2023-08-17 20:39:51,36,TV,Tablet,Android,Xbox,version 2.1.0,1
SESSION_00000169,USER_00000000917,CONTENT_00000486,2023-08-09 11:38:20,14,Mobile,Laptop,Nintendo,iOS 16,version 3.0.5,1
SESSION_00000170,USER_00000000662,CONTENT_00000095,2023-06-22 11:54:53,149,Tablet,Smart TV,tvOS,iPadOS 15,version 1.0.0,1
SESSION_00000171,USER_00000000432,CONTENT_00000873,2025-02-23 23:29:56,48,Tablet,Tablet,macOS,FireOS 6,version 2.0.1,1
SESSION_00000172,USER_00000000149,CONTENT_00000180,2024-05-04 04:57:31,30,Computer,Laptop,Android,iOS 16,version 1.2.3,1
SESSION_00000173,USER_00000000807,CONTENT_00000869,2024-08-27 10:53:14,176,Tablet,Game Console,macOS,Windows 11,version 3.0.5,1
SESSION_00000174,USER_00000000483,CONTENT_00000394,2025-04-07 02:25:27,171,Console,Smart TV,macOS,tvOS 14,version 2.1.0,1
SESSION_00000175,USER_00000000398,CONTENT_00000821,2025-02-27 00:55:23,175,Computer,Desktop,tvOS,Switch,version 3.0.5,1
SESSION_00000176,USER_00000000761,CONTENT_00000172,2024-09-29 13:00:28,112,Console,Smart TV,macOS,iOS 16,version 3.0.5,1
SESSION_00000177,USER_00000000046,CONTENT_00000574,2025-03-24 05:32:23,153,Mobile,Game Console,Android,Xbox,version 1.2.3,1
SESSION_00000178,USER_00000000998,CONTENT_00000187,2024-04-06 00:02:30,20,Console,Tablet,Windows,Windows 11,version 1.0.0,1
SESSION_00000179,USER_00000000474,CONTENT_00000656,2024-01-21 00:39:45,153,Mobile,Smartphone,Android,FireOS 6,version 2.1.0,1
SESSION_00000180,USER_00000000990,CONTENT_00000178,2024-09-05 13:01:36,84,Mobile,Desktop,Linux,macOS Ventura,version 3.0.5,1
SESSION_00000181,USER_00000000449,CONTENT_00000740,2023-09-15 09:34:13,102,Console,Game Console,FireOS,PS5,version 2.1.0,1
SESSION_00000182,USER_00000000805,CONTENT_00000985,2025-05-15 04:47:28,159,Tablet,Laptop,tvOS,PS5,version 2.1.0,1
SESSION_00000183,USER_00000000770,CONTENT_00000166,2025-03-28 14:55:17,70,Computer,Game Console,iOS,Xbox,version 2.0.1,1
SESSION_00000184,USER_00000000146,CONTENT_00000377,2023-11-08 23:07:30,48,Tablet,Tablet,FireOS,Ubuntu 22.04,version 2.0.1,1
SESSION_00000185,USER_00000000386,CONTENT_00000289,2023-07-06 16:44:46,91,Mobile,Smartphone,FireOS,Android 13,version 1.0.0,1
