SESSION_CODE,USER_CODE,CONTENT_CODE,TIME,WATCHED_DURATION,PLATFORM,DEVICE_TYPE,OS_FAMILY,OS_NAME,APP_VERSION,IS_UP_TO_DATE
SESSION_00000023,USER_00000000891,CONTENT_00000691,2024-04-30 12:18:12,69,Console,Tablet,Xbox,iOS 16,v3.0.5,1
SESSION_00000024,USER_00000000338,CONTENT_00000911,2023-09-22 03:03:16,103,Console,Desktop,FireOS,Xbox,v3.0.5,1
SESSION_00000025,USER_00000000303,CONTENT_00000969,2023-06-17 11:28:16,14,Console,Laptop,Windows,FireOS 6,v2.0.1,1
SESSION_00000026,USER_00000000007,CONTENT_00000176,2024-09-05 01:07:52,10,Console,Smartphone,FireOS,Windows 11,v2.0.1,1
SESSION_00000027,USER_00000000441,CONTENT_00000577,2025-05-05 15:01:42,103,Tablet,Smart TV,Android,Windows 11,v3.0.5,1
SESSION_00000028,USER_00000000447,CONTENT_00000568,2023-08-07 04:45:03,64,Mobile,Tablet,Xbox,tvOS 14,v2.0.1,1
SESSION_00000029,USER_00000000375,CONTENT_00000210,2024-11-25 20:27:34,135,Console,Tablet,Android,macOS Ventura,v1.2.3,1
SESSION_00000030,USER_00000000468,CONTENT_00000555,2024-11-24 17:58:55,16,Computer,Game Console,Linux,macOS Ventura,v2.0.1,1
SESSION_00000031,USER_00000000332,CONTENT_00000739,2025-05-14 13:01:39,22,TV,Game Console,Playstation,iPadOS 15,v1.2.3,1
SESSION_00000032,USER_00000000594,CONTENT_00000350,2025-01-16 20:45:44,109,Computer,Tablet,Linux,Android 13,v2.0.1,1
SESSION_00000033,USER_00000000460,CONTENT_00000806,2024-01-01 12:35:20,108,TV,Laptop,Playstation,Xbox,v3.0.5,1
SESSION_00000034,USER_00000000795,CONTENT_00000240,2024-09-16 00:03:34,68,Console,Laptop,Xbox,Ubuntu 22.04,v3.0.5,1
SESSION_00000035,USER_00000000458,CONTENT_00000239,2023-06-23 08:34:59,133,TV,Tablet,tvOS,Android 13,v1.2.3,1
SESSION_00000036,USER_00000000416,CONTENT_00000590,2023-12-28 23:35:59,159,Mobile,Desktop,Android,Ubuntu 22.04,v2.1.0,1
SESSION_00000037,USER_00000000147,CONTENT_00000436,2024-08-29 20:01:41,123,Mobile,Game Console,Playstation,iOS 16,v1.0.0,1
SESSION_00000038,USER_00000000776,CONTENT_00000887,2024-12-18 17:58:00,147,Computer,Smartphone,Nintendo,Ubuntu 22.04,v1.2.3,1
SESSION_00000039,USER_00000000949,CONTENT_00000810,2023-07-09 12:52:01,136,Computer,Smart TV,Windows,Windows 11,v3.0.5,1
SESSION_00000040,USER_00000000154,CONTENT_00000756,2024-06-13 18:11:15,65,Console,Laptop,Windows,tvOS 14,v1.0.0,1
SESSION_00000041,USER_00000000647,CONTENT_00000596,2023-09-12 09:21:40,41,Tablet,Game Console,tvOS,iPadOS 15,v1.2.3,1
SESSION_00000042,USER_00000000239,CONTENT_00000103,2024-08-22 06:49:04,51,Computer,Game Console,iOS,iPadOS 15,v3.0.5,1
SESSION_00000043,USER_00000000269,CONTENT_00000164,2024-09-30 22:10:40,53,Mobile,Game Console,Playstation,Ubuntu 22.04,v1.0.0,1
SESSION_00000044,USER_00000000883,CONTENT_00000328,2023-06-29 08:11:08,136,Tablet,Tablet,Xbox,PS5,v3.0.5,1
SESSION_00000045,USER_00000000250,CONTENT_00000634,2024-04-18 04:06:45,110,Computer,Desktop,Windows,FireOS 6,v3.0.5,1
SESSION_00000046,USER_00000000776,CONTENT_00000449,2024-12-07 14:15:44,104,Computer,Tablet,macOS,PS5,v1.0.0,1
SESSION_00000047,USER_00000000684,CONTENT_00000767,2023-08-30 02:04:36,162,Mobile,Tablet,Android,iOS 16,v2.0.1,1
SESSION_00000048,USER_00000000494,CONTENT_00000881,2024-03-03 02:58:02,127,TV,Game Console,tvOS,FireOS 6,v3.0.5,1
SESSION_00000049,USER_00000000529,CONTENT_00000318,2024-04-12 04:50:41,165,TV,Game Console,macOS,tvOS 14,v1.0.0,1
SESSION_00000050,USER_00000000834,CONTENT_00000123,2024-03-05 17:21:30,146,Mobile,Tablet,macOS,Switch,v2.0.1,1
SESSION_00000051,USER_00000000155,CONTENT_00000898,2024-12-11 21:13:18,163,Computer,Laptop,tvOS,Ubuntu 22.04,v2.1.0,1
SESSION_00000052,USER_00000000498,CONTENT_00000030,2025-04-10 17:21:05,161,Mobile,Desktop,tvOS,Xbox,v2.0.1,1
SESSION_00000053,USER_00000000438,CONTENT_00000054,2025-05-16 20:55:13,91,TV,Tablet,Android,Windows 11,v1.0.0,1
SESSION_00000054,USER_00000000151,CONTENT_00000382,2025-04-12 14:54:04,86,Tablet,Game Console,iOS,PS5,v2.0.1,1
SESSION_00000055,USER_00000000670,CONTENT_00000575,2023-05-28 08:43:03,96,TV,Tablet,macOS,Windows 11,v3.0.5,1
SESSION_00000056,USER_00000000361,CONTENT_00000047,2025-01-29 19:46:31,43,Computer,Tablet,FireOS,PS5,v2.0.1,1
SESSION_00000057,USER_00000000834,CONTENT_00000473,2024-03-22 18:16:23,35,Computer,Desktop,tvOS,Xbox,v3.0.5,1
SESSION_00000058,USER_00000000057,CONTENT_00000046,2024-11-13 03:41:05,56,Console,Desktop,Nintendo,PS5,v1.0.0,1
SESSION_00000059,USER_00000000678,CONTENT_00000738,2025-01-04 00:16:15,7,TV,Tablet,Linux,PS5,v2.0.1,1
SESSION_00000060,USER_00000000742,CONTENT_00000363,2024-08-26 20:45:05,107,Computer,Game Console,Android,iOS 16,v2.0.1,1
SESSION_00000061,USER_00000000044,CONTENT_00000717,2024-01-28 15:10:30,54,Mobile,Desktop,Nintendo,macOS Ventura,v1.2.3,1
SESSION_00000062,USER_00000000772,CONTENT_00000519,2025-04-27 07:49:15,163,Console,Laptop,Nintendo,Xbox,v2.0.1,1
SESSION_00000063,USER_00000000578,CONTENT_00000604,2025-05-19 17:41:56,145,TV,Laptop,tvOS,iOS 16,v1.0.0,1
SESSION_00000064,USER_00000000370,CONTENT_00000168,2024-06-22 22:23:54,67,Console,Laptop,Xbox,iPadOS 15,v1.0.0,1
SESSION_00000065,USER_00000000160,CONTENT_00000393,2023-07-14 21:25:19,47,Computer,Smartphone,Xbox,iPadOS 15,v1.2.3,1
SESSION_00000066,USER_00000000166,CONTENT_00000075,2023-11-05 01:35:43,48,Mobile,Tablet,Linux,Ubuntu 22.04,v1.2.3,1
SESSION_00000067,USER_00000000031,CONTENT_00000615,2024-04-28 14:50:53,16,Computer,Laptop,tvOS,Xbox,v1.2.3,1
SESSION_00000068,USER_00000000617,CONTENT_00000650,2024-06-14 20:16:53,170,Computer,Laptop,FireOS,Switch,v1.0.0,1
SESSION_00000069,USER_00000000543,CONTENT_00000620,2024-08-22 07:04:26,103,Console,Desktop,Nintendo,Ubuntu 22.04,v3.0.5,1
SESSION_00000070,USER_00000000175,CONTENT_00000631,2024-12-25 11:24:54,103,Mobile,Game Console,macOS,iOS 16,v2.1.0,1
SESSION_00000071,USER_00000000832,CONTENT_00000744,2024-03-28 23:18:40,41,Computer,Smart TV,Nintendo,tvOS 14,v2.1.0,1
SESSION_00000072,USER_00000000821,CONTENT_00000007,2024-04-01 05:45:47,44,TV,Smart TV,Nintendo,iPadOS 15,v3.0.5,1
SESSION_00000073,USER_00000000642,CONTENT_00000354,2024-11-03 11:57:00,72,Computer,Tablet,FireOS,PS5,v3.0.5,1
SESSION_00000074,USER_00000000726,CONTENT_00000622,2024-04-29 09:54:12,119,Computer,Desktop,Nintendo,tvOS 14,v2.1.0,1
SESSION_00000075,USER_00000000043,CONTENT_00000591,2025-01-25 02:16:37,16,TV,Game Console,FireOS,Switch,v2.1.0,1
SESSION_00000076,USER_00000000177,CONTENT_00000219,2024-10-17 17:35:54,132,Console,Game Console,tvOS,Switch,v3.0.5,1
SESSION_00000077,USER_00000000456,CONTENT_00000676,2024-03-23 00:20:26,148,Tablet,Smartphone,macOS,iOS 16,v2.1.0,1
SESSION_00000078,USER_00000000566,CONTENT_00000410,2024-04-12 01:17:09,168,Mobile,Game Console,macOS,Android 13,v2.0.1,1
SESSION_00000079,USER_00000000897,CONTENT_00000406,2024-02-10 04:52:00,12,Console,Game Console,tvOS,tvOS 14,v2.1.0,1
SESSION_00000080,USER_00000000801,CONTENT_00000308,2025-03-31 08:44:33,115,Console,Desktop,Windows,Xbox,v1.0.0,1
SESSION_00000081,USER_00000000797,CONTENT_00000438,2024-10-08 22:48:42,79,Mobile,Laptop,tvOS,macOS Ventura,v2.1.0,1
SESSION_00000082,USER_00000000389,CONTENT_00000169,2025-02-28 16:01:42,137,Mobile,Game Console,Linux,Android 13,v1.2.3,1
SESSION_00000083,USER_00000000437,CONTENT_00000691,2025-05-16 11:32:36,91,Tablet,Desktop,Nintendo,macOS Ventura,v1.2.3,1
SESSION_00000084,USER_00000000436,CONTENT_00000555,2024-07-13 23:49:04,50,TV,Smart TV,tvOS,Ubuntu 22.04,v2.1.0,1
SESSION_00000085,USER_00000000427,CONTENT_00000425,2024-02-18 21:15:30,120,Tablet,Desktop,FireOS,Ubuntu 22.04,v3.0.5,1
SESSION_00000086,USER_00000000990,CONTENT_00000518,2024-06-04 16:20:24,102,Computer,Tablet,macOS,PS5,v2.0.1,1
SESSION_00000087,USER_00000000267,CONTENT_00000488,2024-05-10 01:07:52,100,Tablet,Laptop,Nintendo,iOS 16,v2.1.0,1
SESSION_00000088,USER_00000000591,CONTENT_00000307,2025-03-03 10:18:03,153,Computer,Desktop,tvOS,Xbox,v2.1.0,1
SESSION_00000089,USER_00000000801,CONTENT_00000716,2024-01-26 06:12:00,86,Computer,Game Console,macOS,Xbox,v1.2.3,1
SESSION_00000090,USER_00000000097,CONTENT_00000216,2025-02-20 18:13:14,28,Tablet,Smart TV,Nintendo,PS5,v2.0.1,1
SESSION_00000091,USER_00000000045,CONTENT_00000188,2023-09-03 15:51:31,79,Console,Smart TV,Xbox,macOS Ventura,v3.0.5,1
SESSION_00000092,USER_00000000406,CONTENT_00000623,2025-03-01 00:15:39,170,Tablet,Laptop,Android,iOS 16,v2.0.1,1
SESSION_00000093,USER_00000000265,CONTENT_00000888,2024-09-06 20:07:48,55,Computer,Smartphone,iOS,Windows 11,v1.2.3,1
SESSION_00000094,USER_00000000922,CONTENT_00000070,2023-06-07 12:57:01,110,Console,Laptop,tvOS,iPadOS 15,v1.0.0,1
SESSION_00000095,USER_00000000751,CONTENT_00000271,2024-06-05 00:53:28,28,Computer,Game Console,Nintendo,Windows 11,v2.1.0,1
SESSION_00000096,USER_00000000232,CONTENT_00000325,2024-06-13 07:05:41,152,Console,Laptop,Playstation,Xbox,v1.2.3,1
SESSION_00000097,USER_00000000187,CONTENT_00000991,2025-01-17 14:12:29,85,Tablet,Smart TV,Windows,Xbox,v1.0.0,1
SESSION_00000098,USER_00000000015,CONTENT_00000131,2024-01-02 21:07:24,112,Console,Smart TV,Nintendo,iPadOS 15,v1.0.0,1
SESSION_00000099,USER_00000000012,CONTENT_00000725,2024-08-03 14:52:17,172,TV,Smartphone,tvOS,Xbox,v2.1.0,1
SESSION_00000100,USER_00000000627,CONTENT_00000402,2023-11-29 07:01:58,120,Tablet,Tablet,Windows,Windows 11,v1.2.3,1
SESSION_00000101,USER_00000000203,CONTENT_00000788,2025-04-12 06:45:26,28,Mobile,Tablet,tvOS,tvOS 14,v2.1.0,1
SESSION_00000102,USER_00000000522,CONTENT_00000933,2023-09-26 14:39:02,26,TV,Tablet,FireOS,tvOS 14,v3.0.5,1
SESSION_00000103,USER_00000000656,CONTENT_00000639,2023-07-14 02:46:25,125,Computer,Laptop,Nintendo,Xbox,v2.0.1,1
SESSION_00000104,USER_00000000235,CONTENT_00000100,2024-04-27 11:28:16,50,TV,Smartphone,tvOS,Android 13,v2.0.1,1
SESSION_00000105,USER_00000000507,CONTENT_00000505,2024-01-16 16:30:50,170,Mobile,Tablet,iOS,FireOS 6,v2.1.0,1
SESSION_00000106,USER_00000000234,CONTENT_00000115,2024-07-12 08:07:17,31,Computer,Tablet,Windows,Windows 11,v1.0.0,1
SESSION_00000107,USER_00000000601,CONTENT_00000456,2024-10-17 17:52:55,121,Computer,Laptop,Linux,FireOS 6,v2.0.1,1
SESSION_00000108,USER_00000000373,CONTENT_00000198,2023-06-11 02:45:54,128,Mobile,Game Console,Android,Ubuntu 22.04,v1.2.3,1
SESSION_00000109,USER_00000000021,CONTENT_00000310,2023-12-25 01:50:15,115,Mobile,Desktop,macOS,tvOS 14,v2.1.0,1
SESSION_00000110,USER_00000000742,CONTENT_00000439,2024-09-03 04:09:55,65,Computer,Smartphone,iOS,FireOS 6,v1.2.3,1
SESSION_00000111,USER_00000000594,CONTENT_00000434,2023-11-19 22:04:39,20,Console,Desktop,tvOS,Xbox,v2.1.0,1
SESSION_00000112,USER_00000000719,CONTENT_00000271,2023-10-12 22:29:43,42,Console,Smart TV,Playstation,Xbox,v3.0.5,1
SESSION_00000113,USER_00000000080,CONTENT_00000971,2025-05-24 18:33:54,7,Tablet,Game Console,tvOS,Xbox,v3.0.5,1
SESSION_00000114,USER_00000000521,CONTENT_00000511,2024-05-19 00:18:58,10,Tablet,Game Console,Nintendo,tvOS 14,v3.0.5,1
SESSION_00000115,USER_00000000847,CONTENT_00000553,2024-04-18 17:02:30,158,Console,Smart TV,tvOS,PS5,v3.0.5,1
SESSION_00000116,USER_00000000213,CONTENT_00000255,2025-04-21 00:33:09,180,Computer,Smartphone,Linux,Android 13,v1.0.0,1
SESSION_00000117,USER_00000000099,CONTENT_00000174,2023-08-26 08:03:23,20,Console,Game Console,Android,iOS 16,v2.0.1,1
SESSION_00000118,USER_00000000522,CONTENT_00000346,2024-07-13 18:07:54,123,TV,Smartphone,Linux,Xbox,v2.0.1,1
SESSION_00000119,USER_00000000219,CONTENT_00000709,2025-02-17 18:15:52,63,Computer,Game Console,macOS,iPadOS 15,v3.0.5,1
SESSION_00000120,USER_00000000590,CONTENT_00000397,2023-10-28 11:20:00,122,Console,Smart TV,iOS,macOS Ventura,v2.0.1,1
SESSION_00000121,USER_00000000810,CONTENT_00000713,2024-08-17 22:04:06,97,TV,Smart TV,FireOS,macOS Ventura,v3.0.5,1
SESSION_00000122,USER_00000000984,CONTENT_00000447,2025-02-02 18:51:43,51,Computer,Smartphone,Linux,macOS Ventura,v2.0.1,1
SESSION_00000123,USER_00000000221,CONTENT_00000340,2024-03-16 04:03:27,133,Tablet,Smartphone,Windows,iPadOS 15,v1.0.0,1
SESSION_00000124,USER_00000000137,CONTENT_00000765,2024-01-19 05:47:09,163,TV,Smart TV,Android,Ubuntu 22.04,v2.1.0,1
SESSION_00000125,USER_00000000365,CONTENT_00000458,2023-07-02 01:59:22,118,Computer,Laptop,Xbox,Xbox,v2.0.1,1
SESSION_00000126,USER_00000000700,CONTENT_00000706,2023-08-07 12:27:04,39,Computer,Game Console,macOS,Xbox,v1.0.0,1
SESSION_00000127,USER_00000000878,CONTENT_00000004,2025-04-04 05:37:17,178,Mobile,Tablet,Xbox,Windows 11,v2.0.1,1
SESSION_00000128,USER_00000000046,CONTENT_00000610,2024-08-26 18:28:46,143,Computer,Game Console,Playstation,Switch,v1.0.0,1
SESSION_00000129,USER_00000000796,CONTENT_00000012,2024-09-25 20:10:45,166,Mobile,Smart TV,Windows,Windows 11,v1.2.3,1
SESSION_00000130,USER_00000000210,CONTENT_00000848,2024-09-27 22:31:41,59,TV,Tablet,Windows,iPadOS 15,v1.2.3,1
SESSION_00000131,USER_00000000767,CONTENT_00000558,2024-02-20 14:50:56,104,TV,Tablet,Nintendo,Windows 11,v2.1.0,1
SESSION_00000132,USER_00000000822,CONTENT_00000074,2025-01-11 07:59:30,34,Console,Desktop,Nintendo,iPadOS 15,v2.1.0,1
SESSION_00000133,USER_00000000189,CONTENT_00000849,2024-03-19 23:30:53,88,Mobile,Smart TV,macOS,Ubuntu 22.04,v1.2.3,1
SESSION_00000134,USER_00000000229,CONTENT_00000396,2023-09-28 13:50:28,119,TV,Smartphone,Nintendo,Xbox,v2.0.1,1
SESSION_00000135,USER_00000000420,CONTENT_00000937,2023-11-28 04:28:20,83,Console,Laptop,Windows,macOS Ventura,v1.0.0,1
SESSION_00000136,USER_00000000527,CONTENT_00000557,2023-08-18 16:06:37,134,Tablet,Smart TV,Xbox,PS5,v2.0.1,1
SESSION_00000137,USER_00000000754,CONTENT_00000901,2024-04-09 06:13:05,156,Console,Laptop,FireOS,iOS 16,v3.0.5,1
SESSION_00000138,USER_00000000474,CONTENT_00000540,2025-03-27 08:01:50,62,Mobile,Tablet,FireOS,PS5,v2.0.1,1
SESSION_00000139,USER_00000000817,CONTENT_00000619,2024-10-17 05:08:26,17,Mobile,Smartphone,Windows,Ubuntu 22.04,v2.1.0,1
SESSION_00000140,USER_00000000292,CONTENT_00000431,2024-09-01 07:31:59,38,TV,Game Console,Linux,Android 13,v1.0.0,1
SESSION_00000141,USER_00000000647,CONTENT_00000521,2024-02-27 15:22:16,176,Mobile,Laptop,Playstation,Windows 11,v1.0.0,1
SESSION_00000142,USER_00000000749,CONTENT_00000013,2024-01-01 13:29:39,11,Mobile,Smartphone,Xbox,PS5,v2.0.1,1
SESSION_00000143,USER_00000000238,CONTENT_00000309,2023-12-15 11:07:35,30,Tablet,Game Console,tvOS,Android 13,v1.2.3,1
SESSION_00000144,USER_00000000418,CONTENT_00000207,2023-12-14 11:04:24,11,Tablet,Game Console,Windows,FireOS 6,v1.0.0,1
SESSION_00000145,USER_00000000812,CONTENT_00000436,2024-12-30 06:37:18,53,Computer,Laptop,Linux,Switch,v1.0.0,1
SESSION_00000146,USER_00000000436,CONTENT_00000106,2024-02-10 21:56:33,160,Console,Tablet,tvOS,iPadOS 15,v1.2.3,1
SESSION_00000147,USER_00000000072,CONTENT_00000632,2024-07-30 08:45:12,171,Mobile,Desktop,tvOS,PS5,v2.1.0,1
SESSION_00000148,USER_00000000836,CONTENT_00000090,2025-02-27 20:08:17,171,TV,Tablet,Nintendo,FireOS 6,v2.0.1,1
SESSION_00000149,USER_00000000850,CONTENT_00000231,2024-11-17 21:04:04,159,Computer,Smartphone,Playstation,tvOS 14,v1.2.3,1
SESSION_00000150,USER_00000000072,CONTENT_00000705,2023-10-31 12:15:54,124,Console,Smart TV,iOS,Android 13,v1.0.0,1
SESSION_00000151,USER_00000000048,CONTENT_00000184,2024-06-25 23:56:34,72,Console,Desktop,iOS,Xbox,v1.0.0,1
SESSION_00000152,USER_00000000790,CONTENT_00000257,2023-07-28 08:47:24,109,Computer,Tablet,Android,tvOS 14,v1.2.3,1
SESSION_00000153,USER_00000000954,CONTENT_00000827,2024-01-31 02:00:13,178,Console,Smartphone,FireOS,Ubuntu 22.04,v3.0.5,1
SESSION_00000154,USER_00000000423,CONTENT_00000926,2024-06-10 19:29:08,150,Tablet,Smartphone,Windows,Switch,v2.0.1,1
SESSION_00000155,USER_00000000198,CONTENT_00000085,2024-02-20 04:15:09,18,Console,Laptop,iOS,iOS 16,v2.0.1,1
SESSION_00000156,USER_00000000315,CONTENT_00000339,2024-01-07 18:40:45,21,Computer,Smartphone,Windows,Windows 11,v2.1.0,1
SESSION_00000157,USER_00000000021,CONTENT_00000135,2023-08-02 16:20:45,57,TV,Laptop,Windows,Xbox,v1.2.3,1
SESSION_00000158,USER_00000000574,CONTENT_00000449,2025-05-05 16:06:09,98,Console,Game Console,macOS,macOS Ventura,v2.0.1,1
SESSION_00000159,USER_00000000819,CONTENT_00000676,2025-04-01 03:20:53,119,Mobile,Desktop,iOS,Windows 11,v3.0.5,1
SESSION_00000160,USER_00000000954,CONTENT_00000652,2024-07-19 09:26:46,179,Tablet,Tablet,FireOS,iPadOS 15,v1.2.3,1
SESSION_00000161,USER_00000000596,CONTENT_00000855,2025-01-08 21:58:42,87,TV,Tablet,macOS,tvOS 14,v1.0.0,1
SESSION_00000162,USER_00000000719,CONTENT_00000799,2025-05-08 20:16:48,55,Computer,Tablet,Nintendo,iOS 16,v1.2.3,1
SESSION_00000163,USER_00000000386,CONTENT_00000001,2024-08-16 00:20:30,77,TV,Tablet,Playstation,iPadOS 15,v1.2.3,1
SESSION_00000164,USER_00000000155,CONTENT_00000595,2024-02-15 02:52:07,102,Tablet,Desktop,Linux,tvOS 14,v1.2.3,1
SESSION_00000165,USER_00000000803,CONTENT_00000390,2024-04-20 02:27:26,23,Mobile,Tablet,Windows,macOS Ventura,v2.0.1,1
SESSION_00000166,USER_00000000355,CONTENT_00000803,2025-01-07 11:55:22,32,TV,Tablet,Windows,Ubuntu 22.04,v3.0.5,1
SESSION_00000167,USER_00000000160,CONTENT_00000048,2025-02-25 23:10:42,109,Tablet,Game Console,iOS,Windows 11,v2.0.1,1
SESSION_00000168,USER_00000000335,CONTENT_00000261,2025-03-13 12:18:23,69,Tablet,Laptop,Playstation,Android 13,v2.1.0,1
SESSION_00000169,USER_00000000753,CONTENT_00000701,2024-04-17 07:49:08,66,Console,Laptop,Xbox,tvOS 14,v2.0.1,1
SESSION_00000170,USER_00000000897,CONTENT_00000165,2024-08-18 00:22:48,142,Console,Tablet,Xbox,FireOS 6,v1.2.3,1
SESSION_00000171,USER_00000000255,CONTENT_00000673,2025-02-15 00:56:13,80,Computer,Game Console,Nintendo,Switch,v2.0.1,1
SESSION_00000172,USER_00000000984,CONTENT_00000981,2025-05-09 08:06:43,124,TV,Desktop,macOS,iPadOS 15,v2.1.0,1
SESSION_00000173,USER_00000000645,CONTENT_00000241,2023-06-09 05:05:24,18,Computer,Smart TV,FireOS,PS5,v3.0.5,1
SESSION_00000174,USER_00000000553,CONTENT_00000892,2024-10-28 22:58:03,92,Computer,Game Console,Linux,iPadOS 15,v1.0.0,1
SESSION_00000175,USER_00000000024,CONTENT_00000416,2024-02-15 13:09:17,147,TV,Smart TV,tvOS,Switch,v3.0.5,1
SESSION_00000176,USER_00000000597,CONTENT_00000330,2024-02-13 11:37:51,138,Tablet,Desktop,Xbox,tvOS 14,v3.0.5,1
SESSION_00000177,USER_00000000153,CONTENT_00000583,2024-12-29 16:17:37,113,Computer,Tablet,Xbox,FireOS 6,v1.0.0,1
SESSION_00000178,USER_00000000932,CONTENT_00000117,2023-06-03 02:11:42,126,TV,Laptop,iOS,FireOS 6,v1.2.3,1
SESSION_00000179,USER_00000000620,CONTENT_00000406,2023-12-23 07:49:46,140,Tablet,Tablet,Xbox,Windows 11,v2.1.0,1
SESSION_00000180,USER_00000000666,CONTENT_00000375,2024-06-14 20:09:46,135,Mobile,Game Console,Xbox,Switch,v1.0.0,1
SESSION_00000181,USER_00000000378,CONTENT_00000285,2023-11-17 21:58:26,20,Tablet,Desktop,Xbox,tvOS 14,v1.2.3,1
SESSION_00000182,USER_00000000968,CONTENT_00000734,2023-08-30 08:04:54,5,Console,Smart TV,iOS,Switch,v1.2.3,1
SESSION_00000183,USER_00000000794,CONTENT_00000740,2024-06-28 07:10:24,49,Mobile,Laptop,tvOS,Ubuntu 22.04,v1.2.3,1
SESSION_00000184,USER_00000000484,CONTENT_00000299,2025-01-04 18:34:24,133,Computer,Smartphone,macOS,Xbox,v2.0.1,1
SESSION_00000185,USER_00000000396,CONTENT_00000631,2025-03-24 11:57:40,77,Computer,Smartphone,Windows,FireOS 6,v1.0.0,1
SESSION_00000186,USER_00000000134,CONTENT_00000414,2023-10-28 10:12:17,109,TV,Desktop,Xbox,FireOS 6,v2.0.1,1
SESSION_00000187,USER_00000000072,CONTENT_00000014,2024-02-20 23:37:57,160,TV,Desktop,Android,Windows 11,v1.0.0,1
SESSION_00000188,USER_00000000742,CONTENT_00000752,2025-02-04 06:58:01,22,Tablet,Smartphone,Xbox,Android 13,v1.2.3,1
SESSION_00000189,USER_00000000385,CONTENT_00000582,2024-04-14 15:31:21,73,Mobile,Smartphone,iOS,macOS Ventura,v1.2.3,1
SESSION_00000190,USER_00000000452,CONTENT_00000092,2024-08-22 15:01:58,98,Computer,Tablet,macOS,PS5,v1.2.3,1
SESSION_00000191,USER_00000000620,CONTENT_00000931,2024-05-12 22:27:02,151,TV,Smart TV,Linux,Switch,v1.2.3,1
SESSION_00000192,USER_00000000183,CONTENT_00000645,2024-04-22 14:45:21,109,TV,Game Console,FireOS,tvOS 14,v1.2.3,1
SESSION_00000193,USER_00000000816,CONTENT_00000544,2023-09-16 23:54:58,123,Console,Laptop,macOS,PS5,v2.1.0,1
